scenario,part_capi,rendement_reel_brut,duree_carriere,croissance_salaire,capital_capi,rente_mensuelle,pension_totale_annuelle,cumul_20ans,ecart_cumul_vs_A
B (80/20),0.2,0.03,40,0.0,138129.0,871.0,26493.0,529858.0,128842.0
B (80/20),0.2,0.03,40,0.005,149852.0,945.0,30824.0,616483.0,129361.0
B (80/20),0.2,0.03,40,0.01,163019.0,1028.0,35982.0,719630.0,128483.0
B (80/20),0.2,0.03,43,0.0,155663.0,982.0,27820.0,556393.0,155377.0
B (80/20),0.2,0.03,43,0.005,169731.0,1070.0,32622.0,652443.0,157977.0
B (80/20),0.2,0.03,43,0.01,185665.0,1171.0,38412.0,768232.0,159173.0
B (80/20),0.2,0.03,45,0.0,168155.0,1060.0,28765.0,575299.0,174283.0
B (80/20),0.2,0.03,45,0.005,183955.0,1160.0,33897.0,677936.0,178513.0
B (80/20),0.2,0.03,45,0.01,201951.0,1273.0,40134.0,802673.0,181372.0
B (80/20),0.2,0.04,40,0.0,173598.0,1095.0,29177.0,583536.0,182520.0
B (80/20),0.2,0.04,40,0.005,187199.0,1180.0,33650.0,673005.0,185883.0
B (80/20),0.2,0.04,40,0.01,202406.0,1276.0,38962.0,779238.0,188091.0
B (80/20),0.2,0.04,43,0.0,199690.0,1259.0,31151.0,623023.0,222007.0
B (80/20),0.2,0.04,43,0.005,216240.0,1364.0,36142.0,722830.0,228364.0
B (80/20),0.2,0.04,43,0.01,234886.0,1481.0,42136.0,842723.0,233664.0
B (80/20),0.2,0.04,45,0.0,218732.0,1379.0,32592.0,651842.0,250826.0
B (80/20),0.2,0.04,45,0.005,237498.0,1498.0,37948.0,758967.0,259544.0
B (80/20),0.2,0.04,45,0.01,258743.0,1632.0,44431.0,888623.0,267322.0
B (80/20),0.2,0.05,40,0.0,220132.0,1388.0,32698.0,653960.0,252944.0
B (80/20),0.2,0.05,40,0.005,236034.0,1488.0,37346.0,746911.0,259789.0
B (80/20),0.2,0.05,40,0.01,253730.0,1600.0,42846.0,856912.0,265765.0
B (80/20),0.2,0.05,43,0.0,258812.0,1632.0,35625.0,712499.0,311483.0
B (80/20),0.2,0.05,43,0.005,278461.0,1756.0,40850.0,816995.0,322529.0
B (80/20),0.2,0.05,43,0.01,300475.0,1895.0,47099.0,941986.0,332927.0
B (80/20),0.2,0.05,45,0.0,287725.0,1814.0,37813.0,756255.0,355239.0
B (80/20),0.2,0.05,45,0.005,310235.0,1956.0,43452.0,869048.0,369625.0
B (80/20),0.2,0.05,45,0.01,335568.0,2116.0,50244.0,1004890.0,383588.0
C (60/40),0.4,0.03,40,0.0,276259.0,1742.0,32935.0,658700.0,257684.0
C (60/40),0.4,0.03,40,0.005,299704.0,1890.0,37292.0,745844.0,258722.0
C (60/40),0.4,0.03,40,0.01,326038.0,2056.0,42406.0,848114.0,256967.0
C (60/40),0.4,0.03,43,0.0,311326.0,1963.0,35588.0,711770.0,310754.0
C (60/40),0.4,0.03,43,0.005,339461.0,2141.0,40521.0,810420.0,315954.0
C (60/40),0.4,0.03,43,0.01,371330.0,2342.0,46370.0,927406.0,318346.0
C (60/40),0.4,0.03,45,0.0,336310.0,2121.0,37479.0,749581.0,348565.0
C (60/40),0.4,0.03,45,0.005,367910.0,2320.0,42822.0,856449.0,357026.0
C (60/40),0.4,0.03,45,0.01,403901.0,2547.0,49202.0,984044.0,362743.0
C (60/40),0.4,0.04,40,0.0,347196.0,2189.0,38303.0,766056.0,365040.0
C (60/40),0.4,0.04,40,0.005,374398.0,2361.0,42944.0,858888.0,371765.0
C (60/40),0.4,0.04,40,0.01,404812.0,2553.0,48366.0,967330.0,376183.0
C (60/40),0.4,0.04,43,0.0,399379.0,2518.0,42251.0,845029.0,444013.0
C (60/40),0.4,0.04,43,0.005,432480.0,2727.0,47560.0,951195.0,456729.0
C (60/40),0.4,0.04,43,0.01,469772.0,2962.0,53819.0,1076387.0,467328.0
C (60/40),0.4,0.04,45,0.0,437465.0,2759.0,45133.0,902668.0,501652.0
C (60/40),0.4,0.04,45,0.005,474995.0,2995.0,50926.0,1018511.0,519088.0
C (60/40),0.4,0.04,45,0.01,517487.0,3263.0,57797.0,1155945.0,534643.0
C (60/40),0.4,0.05,40,0.0,440263.0,2776.0,45345.0,906903.0,505887.0
C (60/40),0.4,0.05,40,0.005,472068.0,2977.0,50335.0,1006700.0,519578.0
C (60/40),0.4,0.05,40,0.01,507460.0,3200.0,56134.0,1122677.0,531530.0
C (60/40),0.4,0.05,43,0.0,517625.0,3264.0,51199.0,1023982.0,622966.0
C (60/40),0.4,0.05,43,0.005,556922.0,3512.0,56976.0,1139524.0,645058.0
C (60/40),0.4,0.05,43,0.01,600951.0,3789.0,63746.0,1274913.0,665854.0
C (60/40),0.4,0.05,45,0.0,575449.0,3629.0,55575.0,1111494.0,710478.0
C (60/40),0.4,0.05,45,0.005,620471.0,3913.0,61934.0,1238673.0,739250.0
C (60/40),0.4,0.05,45,0.01,671137.0,4232.0,69424.0,1388478.0,767177.0
