annee,scenario,encours_Mde,flux_cotisations_Mde,masse_sal_Mde,taux_capi_pct,cotis_cumulees_Mde,deficit_cor_Mde,pib_Mde,encours_pct_pib,capital_par_actif_ke
2027,A,219.0,11.0,1100.0,1.0,11.0,-5.6,2935.0,7.5,9.5
2028,A,241.0,13.3,1105.5,1.2,24.3,-6.0,2970.0,8.1,10.5
2029,A,266.2,15.6,1111.0,1.4,39.8,-6.3,3006.0,8.9,11.6
2030,A,294.7,17.9,1116.6,1.6,57.7,-6.6,3042.0,9.7,12.8
2031,A,326.7,20.2,1122.2,1.8,77.9,-7.4,3078.0,10.6,14.2
2032,A,362.3,22.6,1127.8,2.0,100.4,-8.3,3115.0,11.6,15.8
2033,A,401.8,24.9,1133.4,2.2,125.4,-9.1,3153.0,12.7,17.5
2034,A,445.2,27.3,1139.1,2.4,152.7,-10.0,3190.0,14.0,19.4
2035,A,492.8,29.8,1144.8,2.6,182.5,-10.8,3229.0,15.3,21.4
2036,A,544.7,32.2,1150.5,2.8,214.7,-11.6,3267.0,16.7,23.7
2037,A,601.2,34.7,1156.3,3.0,249.4,-12.5,3307.0,18.2,26.1
2038,A,662.4,37.2,1162.0,3.2,286.6,-13.3,3346.0,19.8,28.8
2039,A,728.6,39.7,1167.8,3.4,326.3,-14.2,3386.0,21.5,31.7
2040,A,800.0,42.3,1173.7,3.6,368.5,-15.0,3427.0,23.3,34.8
2041,A,876.8,44.8,1179.6,3.8,413.3,-16.5,3468.0,25.3,38.1
2042,A,959.3,47.4,1185.5,4.0,460.8,-18.0,3510.0,27.3,41.7
2043,A,1047.7,50.0,1191.4,4.2,510.8,-19.5,3552.0,29.5,45.6
2044,A,1142.3,52.7,1197.3,4.4,563.5,-21.0,3595.0,31.8,49.7
2045,A,1243.3,55.4,1203.3,4.6,618.8,-15.0,3638.0,34.2,54.1
2046,A,1351.1,58.0,1209.3,4.8,676.9,-15.9,3681.0,36.7,58.7
2047,A,1465.9,60.8,1215.4,5.0,737.7,-16.7,3726.0,39.3,63.7
2048,A,1588.1,63.5,1221.5,5.2,801.2,-17.5,3770.0,42.1,69.0
2049,A,1717.9,66.3,1227.6,5.4,867.5,-18.2,3815.0,45.0,74.7
2050,A,1855.7,69.1,1233.7,5.6,936.5,-18.9,3861.0,48.1,80.7
2051,A,2001.9,71.9,1239.9,5.8,1008.5,-18.8,3908.0,51.2,87.0
2052,A,2156.7,74.8,1246.1,6.0,1083.2,-18.7,3954.0,54.5,93.8
2053,A,2318.1,75.1,1252.3,6.0,1158.4,-18.5,4002.0,57.9,100.8
2054,A,2486.3,75.5,1258.6,6.0,1233.9,-18.3,4050.0,61.4,108.1
2055,A,2661.7,75.9,1264.9,6.0,1309.8,-18.0,4099.0,64.9,115.7
2056,A,2844.4,76.3,1271.2,6.0,1386.0,-17.7,4148.0,68.6,123.7
2057,A,3034.9,76.7,1277.5,6.0,1462.7,-17.4,4198.0,72.3,132.0
2058,A,3233.3,77.0,1283.9,6.0,1539.7,-17.0,4248.0,76.1,140.6
2059,A,3440.0,77.4,1290.3,6.0,1617.1,-16.6,4299.0,80.0,149.6
2060,A,3655.4,77.8,1296.8,6.0,1695.0,-16.1,4350.0,84.0,158.9
2061,A,3879.9,78.2,1303.3,6.0,1773.2,-15.4,4403.0,88.1,168.7
2062,A,4113.6,78.6,1309.8,6.0,1851.7,-14.7,4456.0,92.3,178.9
2063,A,4357.2,79.0,1316.3,6.0,1930.7,-14.0,4509.0,96.6,189.4
2064,A,4610.8,79.4,1322.9,6.0,2010.1,-13.1,4563.0,101.0,200.5
2065,A,4875.0,79.8,1329.5,6.0,2089.9,-12.2,4618.0,105.6,212.0
2066,A,5150.2,80.2,1336.2,6.0,2170.0,-11.3,4673.0,110.2,223.9
2067,A,5436.8,80.6,1342.9,6.0,2250.6,-10.3,4729.0,115.0,236.4
2068,A,5735.2,81.0,1349.6,6.0,2331.6,-9.2,4786.0,119.8,249.4
2069,A,6046.0,81.4,1356.3,6.0,2413.0,-8.0,4844.0,124.8,262.9
2070,A,6369.7,81.8,1363.1,6.0,2494.8,-6.8,4902.0,129.9,276.9
2071,A,6706.6,82.2,1369.9,6.0,2577.0,-4.8,4960.0,135.2,291.6
2072,A,7057.5,82.6,1376.8,6.0,2659.6,-2.7,5020.0,140.6,306.8
2073,A,7422.8,83.0,1383.7,6.0,2742.6,-0.5,5080.0,146.1,322.7
2074,A,7803.2,83.4,1390.6,6.0,2826.0,0.0,5141.0,151.8,339.3
