scenario,parametre_varie,valeur,g_sal,opt_out,encours_2052_Mde,encours_pct_pib_2052,capital_par_actif_2052_ke,encours_2077_Mde,deficit_cor_2052_Mde,cotis_cumulees_2052_Mde
A,rendement_reel_net,0.03,0.005,0.1,1876.2,47.4,81.6,6816.7,-20.3,1083.2
A,rendement_reel_net,0.04,0.005,0.1,2156.7,54.5,93.8,9040.5,-18.7,1083.2
A,rendement_reel_net,0.05,0.005,0.1,2494.1,63.1,108.4,12208.9,-16.6,1083.2
A,croissance_salariale,0.0,0.0,0.1,2049.1,51.8,89.1,8211.1,-19.3,1001.0
A,croissance_salariale,0.005,0.005,0.1,2156.7,54.5,93.8,9040.5,-18.7,1083.2
A,croissance_salariale,0.01,0.01,0.1,2273.6,57.5,98.9,10003.1,-18.0,1173.1
B,rendement_reel_net,0.03,0.005,0.1,1327.3,33.6,57.7,3741.8,-25.6,609.2
B,rendement_reel_net,0.04,0.005,0.1,1581.6,40.0,68.8,5313.3,-24.1,609.2
B,rendement_reel_net,0.05,0.005,0.1,1892.9,47.9,82.3,7664.3,-22.2,609.2
B,croissance_salariale,0.0,0.0,0.1,1529.4,38.7,66.5,4993.2,-24.4,572.0
B,croissance_salariale,0.005,0.005,0.1,1581.6,40.0,68.8,5313.3,-24.1,609.2
B,croissance_salariale,0.01,0.01,0.1,1637.8,41.4,71.2,5680.1,-23.8,649.6
C,rendement_reel_net,0.03,0.005,0.1,2974.7,75.2,129.3,9694.2,-13.8,1842.2
C,rendement_reel_net,0.04,0.005,0.1,3403.7,86.1,148.0,13023.2,-11.2,1842.2
C,rendement_reel_net,0.05,0.005,0.1,3912.2,98.9,170.1,17763.4,-8.1,1842.2
C,croissance_salariale,0.0,0.0,0.1,3225.8,81.6,140.3,11897.7,-12.2,1712.7
C,croissance_salariale,0.005,0.005,0.1,3403.7,86.1,148.0,13023.2,-11.2,1842.2
C,croissance_salariale,0.01,0.01,0.1,3595.8,90.9,156.3,14316.3,-10.0,1982.9
D,rendement_reel_net,0.03,0.005,0.1,2363.7,59.8,102.8,7355.9,-17.4,1289.6
D,rendement_reel_net,0.04,0.005,0.1,2744.0,69.4,119.3,10057.5,-15.1,1289.6
D,rendement_reel_net,0.05,0.005,0.1,3201.2,81.0,139.2,13976.2,-12.4,1289.6
D,croissance_salariale,0.0,0.0,0.1,2619.1,66.2,113.9,9272.6,-15.9,1199.0
D,croissance_salariale,0.005,0.005,0.1,2744.0,69.4,119.3,10057.5,-15.1,1289.6
D,croissance_salariale,0.01,0.01,0.1,2878.6,72.8,125.2,10959.1,-14.3,1387.9
C,opt_out,0.05,0.005,0.05,3562.0,90.1,154.9,13664.5,-10.2,1944.5
C,opt_out,0.1,0.005,0.1,3403.7,86.1,148.0,13023.2,-11.2,1842.2
C,opt_out,0.2,0.005,0.2,3087.1,78.1,134.2,11740.4,-13.1,1637.5
